Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Quantity,Price,Cost Per Unit,Taxes,Purchase Date,revenue,totalsales
OID10503,PID2009,A105,EMP1000,C1327,1,584,420.0,87.6,20170928,164.0,584
OID10511,PID2095,A128,EMP1036,C1315,1,1743,872.0,261.45,20170905,871.0,1743
OID10514,PID2053,A120,EMP1020,C1750,1,596,358.0,89.4,20171119,238.0,596
OID10515,PID2062,A143,EMP1019,C1712,4,2464,1774.0,369.6,20170116,2760.0,9856
OID10517,PID2018,A115,EMP1044,C1759,3,1972,1321.0,295.8,20170202,1953.0,5916
OID10520,PID2015,A166,EMP1033,C1170,1,637,389.0,95.55,20170525,248.0,637
OID10522,PID2055,A148,EMP1011,C1569,1,2495,1896.0,374.25,20170528,599.0,2495
OID10524,PID2078,A117,EMP1014,C1676,1,1798,971.0,269.7,20170131,827.0,1798
OID10529,PID2060,A162,EMP1040,C1524,3,1467,807.0,220.05,20170929,1980.0,4401
OID10530,PID2052,A132,EMP1043,C1251,4,1526,1251.0,228.9,20171011,1100.0,6104
OID10532,PID2033,A156,EMP1012,C1100,1,2182,1200.0,327.3,20170127,982.0,2182
OID10535,PID2058,A128,EMP1009,C1268,1,2257,1535.0,338.55,20170624,722.0,2257
OID10537,PID2073,A124,EMP1022,C1408,1,95,61.0,14.25,20170108,34.0,95
OID10538,PID2016,A130,EMP1013,C1537,3,1351,1108.0,202.65,20171118,729.0,4053
OID10541,PID2076,A145,EMP1004,C1651,2,1522,791.0,228.3,20171219,1462.0,3044
OID10542,PID2096,A107,EMP1000,C1011,4,1587,1301.0,238.05,20170913,1144.0,6348
OID10547,PID2080,A113,EMP1004,C1472,4,2353,1788.0,352.95,20170514,2260.0,9412
OID10550,PID2060,A100,EMP1005,C1175,1,1467,807.0,220.05,20170114,660.0,1467
OID10552,PID2095,A121,EMP1002,C1466,1,1743,872.0,261.45,20170330,871.0,1743
OID10553,PID2065,A155,EMP1036,C1695,1,2396,1965.0,359.4,20170328,431.0,2396
OID10554,PID2001,A165,EMP1008,C1396,2,951,504.0,142.65,20171006,894.0,1902
OID10557,PID2000,A108,EMP1012,C1023,1,2241,1367.0,336.15,20170222,874.0,2241
OID10559,PID2007,A111,EMP1037,C1575,3,1405,1054.0,210.75,20170927,1053.0,4215
OID10564,PID2005,A143,EMP1035,C1507,1,684,561.0,102.6,20171112,123.0,684
OID10566,PID2031,A110,EMP1029,C1253,4,1638,1261.0,245.7,20170119,1508.0,6552
OID10574,PID2057,A124,EMP1010,C1648,1,181,130.0,27.15,20171004,51.0,181
OID10576,PID2058,A141,EMP1039,C1310,3,2257,1535.0,338.55,20171214,2166.0,6771
OID10578,PID2081,A159,EMP1010,C1131,1,1566,1190.0,234.9,20170526,376.0,1566
OID10580,PID2080,A115,EMP1029,C1660,4,2353,1788.0,352.95,20170525,2260.0,9412
OID10581,PID2072,A115,EMP1005,C1530,3,1887,1378.0,283.05,20170416,1527.0,5661
OID10586,PID2007,A125,EMP1005,C1701,2,1405,1054.0,210.75,20170907,702.0,2810
OID10591,PID2018,A131,EMP1003,C1235,1,1972,1321.0,295.8,20171020,651.0,1972
OID10599,PID2076,A115,EMP1034,C1370,3,1522,791.0,228.3,20170308,2193.0,4566
OID10600,PID2031,A171,EMP1024,C1066,4,1638,1261.0,245.7,20171214,1508.0,6552
OID10601,PID2083,A169,EMP1018,C1275,3,2141,1777.0,321.15,20170318,1092.0,6423
OID10602,PID2072,A173,EMP1005,C1102,2,1887,1378.0,283.05,20170723,1018.0,3774
OID10604,PID2022,A162,EMP1038,C1653,1,561,421.0,84.15,20170120,140.0,561
OID10606,PID2055,A159,EMP1043,C1077,1,2495,1896.0,374.25,20170608,599.0,2495
OID10609,PID2058,A119,EMP1014,C1434,1,2257,1535.0,338.55,20170620,722.0,2257
OID10613,PID2064,A125,EMP1022,C1778,1,1414,962.0,212.1,20171020,452.0,1414
OID10616,PID2042,A108,EMP1032,C1442,3,203,154.0,30.45,20171120,147.0,609
OID10622,PID2048,A123,EMP1043,C1235,4,502,296.0,75.3,20170905,824.0,2008
OID10625,PID2003,A159,EMP1035,C1435,2,1783,1516.0,267.45,20170110,534.0,3566
OID10628,PID2034,A127,EMP1023,C1357,1,871,540.0,130.65,20171216,331.0,871
OID10629,PID2011,A129,EMP1017,C1034,1,530,435.0,79.5,20170101,95.0,530
OID10637,PID2051,A170,EMP1021,C1653,2,1077,732.0,161.55,20171106,690.0,2154
OID10638,PID2017,A147,EMP1022,C1125,3,35,22.0,5.25,20170731,39.0,105
OID10639,PID2028,A138,EMP1028,C1072,1,2283,1484.0,342.45,20170808,799.0,2283
OID10642,PID2028,A143,EMP1040,C1499,3,2283,1484.0,342.45,20170915,2397.0,6849
OID10645,PID2086,A155,EMP1013,C1101,1,123,84.0,18.45,20170318,39.0,123
OID10647,PID2080,A133,EMP1041,C1353,2,2353,1788.0,352.95,20170115,1130.0,4706
OID10658,PID2076,A172,EMP1033,C1405,3,1522,791.0,228.3,20170831,2193.0,4566
OID10660,PID2097,A156,EMP1036,C1651,1,1052,589.0,157.8,20170614,463.0,1052
OID10666,PID2032,A158,EMP1029,C1528,3,1967,1397.0,295.05,20170722,1710.0,5901
OID10678,PID2041,A130,EMP1010,C1227,3,1380,1090.0,207.0,20171029,870.0,4140
OID10679,PID2035,A169,EMP1015,C1719,2,458,376.0,68.7,20170210,164.0,916
OID10680,PID2098,A172,EMP1028,C1296,3,1178,683.0,176.7,20170531,1485.0,3534
OID10682,PID2058,A139,EMP1036,C1330,1,2257,1535.0,338.55,20170409,722.0,2257
OID10686,PID2013,A106,EMP1013,C1274,1,368,269.0,55.2,20171020,99.0,368
OID10687,PID2066,A113,EMP1035,C1617,2,2091,1485.0,313.65,20170723,1212.0,4182
OID10697,PID2070,A141,EMP1044,C1050,4,1671,1220.0,250.65,20170920,1804.0,6684
OID10698,PID2021,A157,EMP1030,C1626,1,217,171.0,32.55,20170714,46.0,217
OID10704,PID2076,A123,EMP1022,C1227,1,1522,791.0,228.3,20170731,731.0,1522
OID10708,PID2087,A138,EMP1017,C1297,1,1022,818.0,153.3,20170209,204.0,1022
OID10709,PID2083,A144,EMP1033,C1473,3,2141,1777.0,321.15,20170808,1092.0,6423
OID10713,PID2025,A142,EMP1036,C1666,1,667,387.0,100.05,20170527,280.0,667
OID10714,PID2081,A131,EMP1026,C1795,4,1566,1190.0,234.9,20171121,1504.0,6264
OID10717,PID2063,A104,EMP1003,C1626,3,1708,871.0,256.2,20171211,2511.0,5124
OID10718,PID2008,A118,EMP1038,C1352,4,315,208.0,47.25,20170722,428.0,1260
OID10721,PID2005,A156,EMP1021,C1195,3,684,561.0,102.6,20170306,369.0,2052
OID10728,PID2033,A135,EMP1017,C1027,1,2182,1200.0,327.3,20170817,982.0,2182
OID10732,PID2062,A169,EMP1025,C1619,2,2464,1774.0,369.6,20170706,1380.0,4928
OID10734,PID2069,A101,EMP1037,C1629,1,378,291.0,56.7,20170403,87.0,378
OID10735,PID2059,A148,EMP1005,C1793,3,1494,971.0,224.1,20171003,1569.0,4482
OID10736,PID2060,A171,EMP1003,C1641,3,1467,807.0,220.05,20170314,1980.0,4401
OID10738,PID2004,A170,EMP1039,C1434,3,1278,665.0,191.7,20170714,1839.0,3834
OID10740,PID2024,A105,EMP1019,C1135,2,356,292.0,53.4,20170420,128.0,712
OID10742,PID2058,A143,EMP1003,C1700,1,2257,1535.0,338.55,20171013,722.0,2257
OID10746,PID2053,A102,EMP1013,C1061,3,596,358.0,89.4,20171015,714.0,1788
OID10749,PID2025,A123,EMP1025,C1000,1,667,387.0,100.05,20170616,280.0,667
OID10751,PID2065,A130,EMP1017,C1487,1,2396,1965.0,359.4,20170324,431.0,2396
OID10752,PID2099,A137,EMP1023,C1419,1,1367,984.0,205.05,20170807,383.0,1367
OID10753,PID2031,A154,EMP1015,C1709,3,1638,1261.0,245.7,20170611,1131.0,4914
OID10754,PID2024,A133,EMP1003,C1326,1,356,292.0,53.4,20171106,64.0,356
OID10755,PID2088,A123,EMP1023,C1169,2,603,416.0,90.45,20170519,374.0,1206
OID10756,PID2013,A105,EMP1033,C1106,2,368,269.0,55.2,20171110,198.0,736
OID10758,PID2061,A142,EMP1019,C1144,1,913,584.0,136.95,20170514,329.0,913
OID10761,PID2085,A142,EMP1024,C1475,1,1862,1173.0,279.3,20170603,689.0,1862
OID10762,PID2009,A148,EMP1001,C1517,3,584,420.0,87.6,20170302,492.0,1752
OID10763,PID2039,A159,EMP1020,C1728,3,817,409.0,122.55,20170222,1224.0,2451
OID10764,PID2083,A130,EMP1003,C1235,4,2141,1777.0,321.15,20171116,1456.0,8564
OID10767,PID2040,A151,EMP1043,C1157,3,1889,945.0,283.35,20170818,2832.0,5667
OID10770,PID2084,A114,EMP1040,C1188,4,1783,1230.0,267.45,20170907,2212.0,7132
OID10772,PID2073,A105,EMP1038,C1716,1,95,61.0,14.25,20170626,34.0,95
OID10774,PID2021,A118,EMP1002,C1635,2,217,171.0,32.55,20171225,92.0,434
OID10776,PID2097,A170,EMP1002,C1088,1,1052,589.0,157.8,20170523,463.0,1052
OID10781,PID2015,A113,EMP1043,C1232,1,637,389.0,95.55,20170419,248.0,637
OID10782,PID2064,A117,EMP1006,C1149,4,1414,962.0,212.1,20170831,1808.0,5656
OID10784,PID2086,A119,EMP1031,C1187,1,123,84.0,18.45,20171207,39.0,123
OID10785,PID2037,A118,EMP1017,C1195,1,880,634.0,132.0,20170505,246.0,880
OID10787,PID2051,A149,EMP1029,C1147,3,1077,732.0,161.55,20170813,1035.0,3231
OID10790,PID2045,A156,EMP1031,C1301,2,556,395.0,83.4,20170621,322.0,1112
OID10793,PID2001,A153,EMP1032,C1555,1,951,504.0,142.65,20170220,447.0,951
OID10795,PID2062,A116,EMP1018,C1150,3,2464,1774.0,369.6,20170816,2070.0,7392
OID10796,PID2053,A126,EMP1040,C1714,4,596,358.0,89.4,20171205,952.0,2384
OID10797,PID2002,A140,EMP1024,C1170,2,847,534.0,127.05,20170228,626.0,1694
OID10804,PID2035,A146,EMP1033,C1462,3,458,376.0,68.7,20171003,246.0,1374
OID10805,PID2023,A110,EMP1008,C1221,1,818,450.0,122.7,20171127,368.0,818
OID10806,PID2059,A104,EMP1019,C1670,4,1494,971.0,224.1,20170613,2092.0,5976
OID10809,PID2058,A162,EMP1004,C1279,3,2257,1535.0,338.55,20170320,2166.0,6771
OID10813,PID2025,A136,EMP1006,C1445,1,667,387.0,100.05,20170310,280.0,667
OID10818,PID2049,A156,EMP1007,C1183,1,826,562.0,123.9,20170401,264.0,826
OID10822,PID2017,A140,EMP1024,C1270,1,35,22.0,5.25,20170407,13.0,35
OID10828,PID2078,A125,EMP1002,C1476,2,1798,971.0,269.7,20171004,1654.0,3596
OID10838,PID2100,A155,EMP1023,C1229,1,799,455.0,119.85,20170111,344.0,799
